review_text,side_effect
i had severe headache and nausea after taking it,headache
this medicine caused dizziness and fatigue,dizziness
my stomach hurt badly after using this drug,stomach_pain
i felt very sleepy all day after the medication,drowsiness
skin rash appeared after applying this cream,rash
the tablet made me vomit several times,vomiting
i experienced mild itching on my arms,itching
i got swelling on my feet and hands,swelling
felt extremely weak and tired,weakness
the cough syrup made me feel nauseous,nausea
i experienced blurred vision after taking this pill,blurred_vision
this medication made my heart race,rapid_heartbeat
felt extreme sweating and cold chills after the tablet,sweating
my throat became sore and itchy,throat_irritation
i had stomach cramps and diarrhea,diarrhea
the ointment caused redness on skin,skin_redness
i felt dizzy and faint while standing,dizziness
my mouth became dry and bitter,dry_mouth
i experienced mild tremors in hands,tremor
the capsule caused severe nausea and vomiting,nausea
felt unusually sleepy after taking the pill,drowsiness
i got a rash around my neck,rash
my legs were swollen and painful,swelling
the syrup made me cough badly,cough
i had a mild fever and chills,fever
the pill caused constipation,constipation
i experienced heart palpitations,rapid_heartbeat
felt extremely tired and lethargic,weakness
i got itchy bumps on my arms,itching
my vision was blurry for a few hours,blurred_vision
i had stomach ache and cramps,stomach_pain
this cream caused redness and irritation,skin_redness
i felt dizzy and lightheaded,dizziness
the medicine made me vomit several times,vomiting
my mouth was dry and parched,dry_mouth
i felt my hands trembling slightly,tremor
the syrup caused coughing fits,cough
i had mild nausea and headache,nausea
i experienced drowsiness and fatigue,drowsiness
i got red rash on my legs,rash
my feet became swollen and painful,swelling
i experienced mild fever and chills,fever
the pill caused constipation and bloating,constipation
i had a rapid heartbeat after taking it,rapid_heartbeat
felt extremely weak and tired,weakness
my skin became itchy and red,itching
blurred vision after the capsule,blurred_vision
stomach cramps and pain after tablet,stomach_pain
redness and irritation on skin after cream,skin_redness
